# kind nAtoms frames pass rep compute_ms
synth 1000 1 1 0 4.584
synth 1000 1 1 1 4.581
synth 1000 1 1 2 4.569
synth 1000 1 1 3 4.564
synth 1000 1 1 4 4.574
synth 1000 1 1 5 4.597
synth 1000 1 1 6 4.568
synth 1000 1 1 7 4.576
synth 1000 1 1 8 4.576
synth 1000 1 1 9 4.581
synth 1000 1 1 10 4.582
synth 1000 1 1 11 4.573
synth 1000 1 1 12 4.570
synth 1000 1 1 13 4.580
synth 1000 1 1 14 4.567
synth 1000 1 1 15 4.602
synth 1000 1 1 16 4.582
synth 1000 1 1 17 4.576
synth 1000 1 1 18 4.567
synth 1000 1 1 19 4.572
synth 1000 1 1 20 4.566
synth 2000 1 1 0 6.921
synth 2000 1 1 1 6.904
synth 2000 1 1 2 6.929
synth 2000 1 1 3 6.917
synth 2000 1 1 4 6.877
synth 2000 1 1 5 6.952
synth 2000 1 1 6 6.914
synth 2000 1 1 7 6.928
synth 2000 1 1 8 6.914
synth 2000 1 1 9 6.926
synth 2000 1 1 10 6.912
synth 2000 1 1 11 6.931
synth 2000 1 1 12 6.858
synth 2000 1 1 13 6.929
synth 2000 1 1 14 6.922
synth 2000 1 1 15 6.938
synth 2000 1 1 16 6.939
synth 2000 1 1 17 6.953
synth 2000 1 1 18 6.916
synth 2000 1 1 19 6.929
synth 2000 1 1 20 6.906
synth 4000 1 1 0 7.029
synth 4000 1 1 1 7.021
synth 4000 1 1 2 7.027
synth 4000 1 1 3 7.011
synth 4000 1 1 4 7.022
synth 4000 1 1 5 7.021
synth 4000 1 1 6 7.008
synth 4000 1 1 7 7.021
synth 4000 1 1 8 7.016
synth 4000 1 1 9 7.011
synth 4000 1 1 10 7.022
synth 4000 1 1 11 7.017
synth 4000 1 1 12 7.015
synth 4000 1 1 13 6.631
synth 4000 1 1 14 6.000
synth 4000 1 1 15 6.002
synth 4000 1 1 16 5.999
synth 4000 1 1 17 6.009
synth 4000 1 1 18 6.002
synth 4000 1 1 19 6.002
synth 4000 1 1 20 5.999
synth 8000 1 1 0 8.767
synth 8000 1 1 1 8.747
synth 8000 1 1 2 8.763
synth 8000 1 1 3 8.748
synth 8000 1 1 4 8.764
synth 8000 1 1 5 8.751
synth 8000 1 1 6 8.751
synth 8000 1 1 7 8.762
synth 8000 1 1 8 8.753
synth 8000 1 1 9 8.745
synth 8000 1 1 10 8.760
synth 8000 1 1 11 8.756
synth 8000 1 1 12 8.755
synth 8000 1 1 13 8.755
synth 8000 1 1 14 8.761
synth 8000 1 1 15 7.025
synth 8000 1 1 16 5.271
synth 8000 1 1 17 5.255
synth 8000 1 1 18 5.257
synth 8000 1 1 19 5.274
synth 8000 1 1 20 5.257
